,wave,iid,pid,gender,field_cd,undergra,age,age_o,race,race_o,imprace,imprelig,from,zipcode,goal,income,career_c,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,match,dec_o
0,1,1,11.0,0,1.0,,21.0,27.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,0,0
1,1,1,12.0,0,1.0,,21.0,22.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,10.0,7.0,7.0,5.0,0,0
2,1,1,13.0,0,1.0,,21.0,22.0,4.0,4.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
3,1,1,14.0,0,1.0,,21.0,23.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,9.0,8.0,9.0,8.0,1,1
4,1,1,15.0,0,1.0,,21.0,24.0,4.0,3.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,9.0,7.0,1,1
5,1,1,16.0,0,1.0,,21.0,25.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,50.0,0.0,30.0,10.0,0.0,10.0,7.0,7.0,8.0,8.0,7.0,7.0,0,1
6,1,1,17.0,0,1.0,,21.0,30.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,35.0,15.0,25.0,10.0,5.0,10.0,3.0,6.0,7.0,5.0,8.0,7.0,0,0
7,1,1,18.0,0,1.0,,21.0,27.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,5.0,6.0,8.0,6.0,0,0
8,1,1,19.0,0,1.0,,21.0,28.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,8.0,8.0,8.0,9.0,1,1
9,1,1,20.0,0,1.0,,21.0,24.0,4.0,2.0,2.0,4.0,Chicago,"60,521",2.0,"69,487.00",,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0,0
10,1,2,11.0,0,1.0,,24.0,27.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,9.0,7.0,4.0,0,0
11,1,2,12.0,0,1.0,,24.0,22.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,60.0,0.0,0.0,40.0,0.0,0.0,7.0,6.0,10.0,6.0,6.0,5.0,0,0
